case,year,SMT_pct,MaxIrr_mm,yield_t_ha,irrigation_mm,WP_kg_m3
case1_gimje,2019,10.2,16.3,6.321,0.0,0.937
case1_gimje,2019,10.3,16.3,6.321,0.0,0.937
case1_gimje,2019,85.6,11.8,7.331,205.8,0.832
case1_gimje,2019,85.7,11.8,7.331,205.8,0.832
case1_gimje,2019,59.9,10.7,7.086,85.4,0.932
case1_gimje,2019,24.9,17.9,6.449,17.9,0.931
case1_gimje,2019,70.0,11.1,7.301,144.2,0.891
case1_gimje,2019,59.9,12.0,7.145,96.3,0.926
case1_gimje,2019,41.7,16.4,6.774,49.1,0.935
case1_gimje,2019,50.1,17.3,6.854,51.9,0.943
case1_gimje,2019,50.6,23.0,6.911,69.0,0.929
case1_gimje,2019,51.7,23.2,7.017,69.5,0.942
case1_gimje,2019,41.6,13.5,6.731,40.4,0.941
case1_gimje,2019,51.7,26.5,7.018,79.4,0.93
case1_gimje,2019,74.7,11.7,7.307,163.8,0.871
case1_gimje,2019,50.6,20.4,6.887,61.1,0.936
case1_gimje,2019,24.0,20.3,6.518,20.3,0.937
case1_gimje,2019,67.6,16.3,7.278,130.2,0.904
case1_gimje,2019,80.8,10.2,7.325,183.1,0.854
case1_gimje,2019,28.2,31.1,6.663,31.1,0.944
case1_gimje,2019,21.4,10.0,6.374,10.0,0.931
case1_gimje,2019,61.7,22.4,7.249,111.8,0.921
case1_gimje,2019,28.2,35.5,6.687,35.5,0.941
case1_gimje,2019,62.0,11.5,7.21,103.3,0.926
case1_gimje,2019,27.7,14.2,6.593,28.4,0.937
case1_gimje,2019,61.7,11.0,7.207,99.0,0.931
case1_gimje,2019,25.7,26.4,6.545,26.4,0.933
case1_gimje,2019,21.1,10.0,6.374,10.0,0.931
case1_gimje,2019,61.5,24.9,7.263,124.4,0.909
case1_gimje,2019,61.7,23.5,7.256,117.4,0.916
