case,year,SMT_pct,MaxIrr_mm,yield_t_ha,irrigation_mm,WP_kg_m3
case1_gimje,2019,10.5,10.3,6.142,0.0,0.91
case1_gimje,2019,83.1,13.0,7.332,212.8,0.826
case1_gimje,2019,10.3,16.6,6.142,0.0,0.91
case1_gimje,2019,75.9,10.2,7.328,172.0,0.865
case1_gimje,2019,83.0,11.9,7.331,204.6,0.833
case1_gimje,2019,54.1,10.8,7.032,86.1,0.924
case1_gimje,2019,25.6,11.6,6.371,23.2,0.912
case1_gimje,2019,47.8,10.0,6.902,80.4,0.914
case1_gimje,2019,31.1,17.1,6.575,34.2,0.927
case1_gimje,2019,28.6,16.0,6.496,31.9,0.919
case1_gimje,2019,47.2,10.1,6.776,70.9,0.908
case1_gimje,2019,27.8,14.8,6.424,29.6,0.912
case1_gimje,2019,67.5,13.5,7.301,148.1,0.887
case1_gimje,2019,38.0,11.7,6.683,46.9,0.926
case1_gimje,2019,47.9,10.2,6.864,71.4,0.92
case1_gimje,2019,17.8,10.0,6.221,10.0,0.908
case1_gimje,2019,39.9,18.8,6.773,56.3,0.926
case1_gimje,2019,64.2,10.4,7.294,135.4,0.9
case1_gimje,2019,54.6,10.8,7.155,97.0,0.927
case1_gimje,2019,40.1,16.5,6.74,49.4,0.93
case1_gimje,2019,57.3,11.4,7.183,102.3,0.924
case1_gimje,2019,55.3,22.1,7.221,110.7,0.919
case1_gimje,2019,54.4,11.7,7.086,93.5,0.922
case1_gimje,2019,59.5,16.0,7.26,127.8,0.904
case1_gimje,2019,16.8,18.8,6.288,18.8,0.906
case1_gimje,2019,55.3,23.6,7.222,117.9,0.911
case1_gimje,2019,54.0,11.4,7.072,90.9,0.923
case1_gimje,2019,60.5,15.1,7.259,121.0,0.912
case1_gimje,2019,70.5,16.2,7.316,160.7,0.875
case1_gimje,2019,34.6,13.5,6.628,40.5,0.926
