case,year,SMT_pct,MaxIrr_mm,yield_t_ha,irrigation_mm,WP_kg_m3
case2_hampyeong,2015,15.6,10.1,6.016,0.0,1.041
case2_hampyeong,2015,81.8,10.0,7.172,138.4,1.001
case2_hampyeong,2015,14.6,10.0,6.016,0.0,1.041
case2_hampyeong,2015,78.7,10.7,7.168,127.9,1.015
case2_hampyeong,2015,74.0,12.2,7.167,97.3,1.061
case2_hampyeong,2015,19.0,10.0,6.208,10.0,1.056
case2_hampyeong,2015,49.8,10.8,6.704,43.2,1.079
case2_hampyeong,2015,48.0,10.7,6.512,42.8,1.049
case2_hampyeong,2015,50.9,12.0,6.788,48.1,1.084
case2_hampyeong,2015,53.2,11.5,6.858,57.4,1.079
case2_hampyeong,2015,39.6,10.0,6.452,30.0,1.061
case2_hampyeong,2015,45.2,10.0,6.499,40.1,1.052
case2_hampyeong,2015,30.6,19.5,6.342,19.5,1.061
case2_hampyeong,2015,67.5,13.4,7.129,93.5,1.062
case2_hampyeong,2015,32.6,10.5,6.398,21.1,1.068
case2_hampyeong,2015,53.7,12.4,6.884,61.8,1.076
case2_hampyeong,2015,66.2,10.8,7.106,86.5,1.069
case2_hampyeong,2015,39.6,13.7,6.421,27.3,1.061
case2_hampyeong,2015,57.7,12.4,6.961,61.9,1.088
case2_hampyeong,2015,63.0,20.5,7.087,82.1,1.074
case2_hampyeong,2015,61.3,10.3,7.045,71.9,1.084
case2_hampyeong,2015,59.6,13.9,6.995,69.6,1.08
case2_hampyeong,2015,24.1,15.5,6.287,15.5,1.059
case2_hampyeong,2015,18.3,13.0,6.225,13.0,1.053
case2_hampyeong,2015,80.7,11.5,7.168,136.3,1.003
case2_hampyeong,2015,62.3,11.1,7.061,77.6,1.077
case2_hampyeong,2015,24.2,14.6,6.285,14.6,1.061
case2_hampyeong,2015,50.9,10.9,6.754,43.5,1.087
case2_hampyeong,2015,57.7,13.4,6.966,67.0,1.08
case2_hampyeong,2015,63.4,10.8,7.051,75.7,1.079
