smt_pct,max_irr_mm,yield_t_ha,irrigation_mm,WP_kg_m3
17.5,12.8,14.36,0.0,0.0
20.0,16.4,14.36,0.0,0.0
21.2,7.2,14.361,7.2,198.515
21.2,11.8,14.366,11.8,121.836
21.8,7.5,14.378,14.9,96.304
22.0,7.4,14.378,14.9,96.707
23.4,15.5,14.459,15.5,93.115
23.4,17.4,14.47,17.4,82.927
23.9,18.6,14.484,18.6,77.679
23.9,20.7,14.494,20.7,69.912
23.9,21.9,14.501,21.9,66.139
23.9,23.6,14.509,23.6,61.427
24.0,28.9,14.512,28.9,50.212
25.8,28.9,14.568,28.9,50.362
26.2,16.4,14.573,32.8,44.438
26.6,35.9,14.595,35.9,40.633
27.1,37.0,14.613,37.0,39.503
27.1,39.7,14.622,39.7,36.81
28.4,22.3,14.638,44.6,32.828
28.4,22.9,14.64,45.8,31.985
29.1,16.3,14.655,48.8,30.003
30.1,17.7,14.664,53.2,27.584
31.0,29.2,14.688,58.5,25.115
31.3,29.4,14.689,58.7,25.023
31.8,21.2,14.69,63.7,23.064
31.1,34.0,14.69,67.9,21.633
31.1,34.4,14.69,68.9,21.329
33.1,34.8,14.704,69.6,21.118
34.5,37.0,14.706,74.0,19.871
35.2,25.8,14.706,77.3,19.014
