case,year,desc,strategy,yield_t_ha,irrigation_mm,grow_precip_mm,WP_kg_m3
case1_chungnam,2019,충남 충청남도 (dry: 513mm),rainfed,6.704,0.0,512.9,1.307
case1_chungnam,2019,충남 충청남도 (dry: 513mm),fixed_7d_80pct,7.308,114.3,512.9,1.165
case1_chungnam,2019,충남 충청남도 (dry: 513mm),deficit_SMT50,7.217,50.0,512.9,1.282
case1_chungnam,2019,충남 충청남도 (dry: 513mm),deficit_SMT30,7.03,25.0,512.9,1.307
case1_chungnam,2019,충남 충청남도 (dry: 513mm),full_SMT80,7.306,86.4,512.9,1.219
case1_chungnam,2022,충남 충청남도 (wet: 1278mm),rainfed,7.35,0.0,1278.3,0.575
case1_chungnam,2022,충남 충청남도 (wet: 1278mm),fixed_7d_80pct,7.426,39.7,1278.3,0.563
case1_chungnam,2022,충남 충청남도 (wet: 1278mm),deficit_SMT50,7.35,0.0,1278.3,0.575
case1_chungnam,2022,충남 충청남도 (wet: 1278mm),deficit_SMT30,7.35,0.0,1278.3,0.575
case1_chungnam,2022,충남 충청남도 (wet: 1278mm),full_SMT80,7.427,30.0,1278.3,0.568
case2_jeonnam,2019,전남 전라남도 (wet: 1105mm),rainfed,7.006,0.0,1105.2,0.634
case2_jeonnam,2019,전남 전라남도 (wet: 1105mm),fixed_7d_80pct,7.285,146.6,1105.2,0.582
case2_jeonnam,2019,전남 전라남도 (wet: 1105mm),deficit_SMT50,7.139,100.0,1105.2,0.592
case2_jeonnam,2019,전남 전라남도 (wet: 1105mm),deficit_SMT30,7.063,25.0,1105.2,0.625
case2_jeonnam,2019,전남 전라남도 (wet: 1105mm),full_SMT80,7.32,228.8,1105.2,0.549
case2_jeonnam,2022,전남 전라남도 (dry: 686mm),rainfed,6.751,0.0,686.3,0.984
case2_jeonnam,2022,전남 전라남도 (dry: 686mm),fixed_7d_80pct,7.298,131.7,686.3,0.892
case2_jeonnam,2022,전남 전라남도 (dry: 686mm),deficit_SMT50,6.843,25.0,686.3,0.962
case2_jeonnam,2022,전남 전라남도 (dry: 686mm),deficit_SMT30,6.751,0.0,686.3,0.984
case2_jeonnam,2022,전남 전라남도 (dry: 686mm),full_SMT80,7.426,166.3,686.3,0.871
