case,year,strategy,yield_t_ha,irrigation_mm,grow_precip_mm,WP_kg_m3,soil_thfc,soil_thwp
case1_gimje,2019,rainfed,6.142,0.0,675.0,0.91,0.306,0.18
case1_gimje,2019,fixed_7d_80pct,7.24,143.7,675.0,0.884,0.306,0.18
case1_gimje,2019,deficit_SMT50,7.018,125.0,675.0,0.877,0.306,0.18
case1_gimje,2019,deficit_SMT30,6.613,50.0,675.0,0.912,0.306,0.18
case1_gimje,2019,full_SMT80,7.322,205.1,675.0,0.832,0.306,0.18
case1_gimje,2022,rainfed,6.261,0.0,736.1,0.851,0.306,0.18
case1_gimje,2022,fixed_7d_80pct,7.252,93.5,736.1,0.874,0.306,0.18
case1_gimje,2022,deficit_SMT50,7.22,100.0,736.1,0.864,0.306,0.18
case1_gimje,2022,deficit_SMT30,6.261,0.0,736.1,0.851,0.306,0.18
case1_gimje,2022,full_SMT80,7.43,129.6,736.1,0.858,0.306,0.18
case2_hampyeong,2019,rainfed,7.197,0.0,823.8,0.874,0.322,0.19
case2_hampyeong,2019,fixed_7d_80pct,7.307,114.2,823.8,0.779,0.322,0.19
case2_hampyeong,2019,deficit_SMT50,7.305,50.0,823.8,0.836,0.322,0.19
case2_hampyeong,2019,deficit_SMT30,7.197,0.0,823.8,0.874,0.322,0.19
case2_hampyeong,2019,full_SMT80,7.325,117.1,823.8,0.779,0.322,0.19
case2_hampyeong,2022,rainfed,7.233,0.0,723.6,1.0,0.322,0.19
case2_hampyeong,2022,fixed_7d_80pct,7.408,88.8,723.6,0.912,0.322,0.19
case2_hampyeong,2022,deficit_SMT50,7.233,0.0,723.6,1.0,0.322,0.19
case2_hampyeong,2022,deficit_SMT30,7.233,0.0,723.6,1.0,0.322,0.19
case2_hampyeong,2022,full_SMT80,7.432,97.9,723.6,0.905,0.322,0.19
case1_gimje,2015,rainfed,3.856,0.0,402.6,0.958,0.306,0.18
case1_gimje,2015,fixed_7d_80pct,7.009,238.9,402.6,1.093,0.306,0.18
case1_gimje,2015,deficit_SMT50,6.633,175.0,402.6,1.148,0.306,0.18
case1_gimje,2015,deficit_SMT30,5.016,75.0,402.6,1.05,0.306,0.18
case1_gimje,2015,full_SMT80,7.168,286.9,402.6,1.04,0.306,0.18
case2_hampyeong,2015,rainfed,6.016,0.0,577.9,1.041,0.322,0.19
case2_hampyeong,2015,fixed_7d_80pct,7.138,142.8,577.9,0.991,0.322,0.19
case2_hampyeong,2015,deficit_SMT50,6.772,75.0,577.9,1.037,0.322,0.19
case2_hampyeong,2015,deficit_SMT30,6.362,25.0,577.9,1.055,0.322,0.19
case2_hampyeong,2015,full_SMT80,7.167,149.3,577.9,0.986,0.322,0.19
