case,year,perturb,th_fc,th_wp,strategy,yield_t_ha,irrigation_mm
case1_gimje,2019,base,0.39,0.23,rainfed,6.321,0.0
case1_gimje,2019,base,0.39,0.23,deficit_SMT50,6.915,75.0
case1_gimje,2019,FC+15%,0.448,0.23,rainfed,6.65,0.0
case1_gimje,2019,FC+15%,0.448,0.23,deficit_SMT50,7.016,50.0
case1_gimje,2019,FC-15%,0.331,0.23,rainfed,5.691,0.0
case1_gimje,2019,FC-15%,0.331,0.23,deficit_SMT50,7.193,121.0
case1_gimje,2019,WP+15%,0.39,0.264,rainfed,5.847,0.0
case1_gimje,2019,WP+15%,0.39,0.264,deficit_SMT50,7.116,125.0
case1_gimje,2019,WP-15%,0.39,0.196,rainfed,6.635,0.0
case1_gimje,2019,WP-15%,0.39,0.196,deficit_SMT50,7.014,50.0
