Year,Month,Day,MinTemp,MaxTemp,Precipitation,ReferenceET
2015,1,1,-4.29,-2.76,0.74,0.27275538485809425
2015,1,2,-7.58,0.07,0.42,0.6020674617451621
2015,1,3,-8.89,2.58,0.0,0.7714618070837503
2015,1,4,-1.54,7.96,0.53,1.0110896860431091
2015,1,5,-0.64,6.19,9.92,0.8429787047626199
2015,1,6,-3.69,3.77,4.94,0.7671839903255274
2015,1,7,-6.49,0.21,0.0,0.6001749376281585
2015,1,8,-8.45,2.06,0.0,0.7524557558530738
2015,1,9,-5.3,3.15,0.0,0.7765015914653931
2015,1,10,-3.64,4.81,0.0,0.8580364951183608
2015,1,11,-2.81,2.93,0.07,0.6907341212290505
2015,1,12,-8.23,1.75,0.0,0.7467090450070083
2015,1,13,-5.8,6.63,0.0,1.048648410270502
2015,1,14,-1.08,3.47,0.03,0.6656366958564217
2015,1,15,-2.16,6.95,0.0,1.0076428117796024
2015,1,16,-0.2,4.34,0.51,0.7044048399703245
2015,1,17,-4.39,1.23,0.0,0.6440025719734176
2015,1,18,-4.96,3.66,2.4,0.8490531345271342
2015,1,19,-3.03,5.4,0.31,0.9359740896405329
2015,1,20,-4.44,3.99,0.0,0.8726538485967521
2015,1,21,-0.47,5.35,4.72,0.8411370370577652
2015,1,22,-1.36,6.09,2.08,0.9552096072606775
2015,1,23,-0.82,5.21,0.0,0.8586039939536958
2015,1,24,-0.6,6.55,0.0,0.9789434948510926
2015,1,25,0.01,8.03,3.21,1.0975231597679498
2015,1,26,-0.98,7.67,2.21,1.1133979219267158
2015,1,27,-5.1,0.82,0.0,0.6877049263201335
2015,1,28,-6.28,0.52,0.0,0.7080059150317533
2015,1,29,-2.21,4.71,1.72,0.9195433514554754
2015,1,30,-4.83,1.34,0.24,0.73795763030193
2015,1,31,-7.08,0.17,0.0,0.7208477218978128
2015,2,1,-8.94,2.51,0.0,0.9210498819287438
2015,2,2,-5.14,3.77,0.0,0.9616644905233793
2015,2,3,-4.6,3.88,0.0,0.9643214882240021
2015,2,4,-1.95,3.41,0.0,0.821746773006213
2015,2,5,-3.47,3.41,0.01,0.9007310781954211
