Year,Month,Day,MinTemp,MaxTemp,Precipitation,ReferenceET
2015,1,1,-0.32,1.13,2.39,0.3473166782801483
2015,1,2,-0.55,4.5,0.7,0.7063383746861517
2015,1,3,-0.31,4.05,0.0,0.6550948067820781
2015,1,4,3.82,8.49,0.0,0.8287466800778444
2015,1,5,2.25,10.5,10.03,1.1160260134795599
2015,1,6,0.86,10.38,1.62,1.1662755827043576
2015,1,7,0.53,2.95,0.0,0.4927679504741687
2015,1,8,0.58,4.35,0.0,0.6408249147931592
2015,1,9,1.86,6.25,0.0,0.7493980443163009
2015,1,10,1.73,6.06,0.0,0.7425639454669828
2015,1,11,1.34,5.83,0.0,0.7492981838635231
2015,1,12,-0.2,3.06,0.0,0.5772864090766676
2015,1,13,0.66,7.71,0.02,0.9760947384432515
2015,1,14,3.11,5.74,1.46,0.6062372670380861
2015,1,15,1.91,6.89,0.0,0.8383485529085825
2015,1,16,3.11,5.44,0.69,0.5737849134898445
2015,1,17,-0.16,2.81,0.05,0.5648597090771907
2015,1,18,-0.09,5.1,0.87,0.7980177392452923
2015,1,19,1.08,6.25,0.04,0.8476935558768152
2015,1,20,0.22,4.95,0.0,0.7753720771419753
2015,1,21,2.64,7.36,5.74,0.8724640965276645
2015,1,22,1.84,6.14,0.28,0.8016228375216039
2015,1,23,1.63,5.59,0.0,0.7614496644175575
2015,1,24,2.75,7.02,0.0,0.8440860612465042
2015,1,25,2.78,11.09,8.3,1.293777489855145
2015,1,26,4.11,8.53,1.04,0.9272614013939442
2015,1,27,-0.27,4.51,0.02,0.802665075008599
2015,1,28,-0.97,1.51,0.0,0.5286649548423519
2015,1,29,0.51,3.69,4.78,0.6646210133794792
2015,1,30,0.31,3.88,0.48,0.7098052570927982
2015,1,31,-0.64,1.54,0.05,0.513034077159042
2015,2,1,-1.4,3.39,0.0,0.7831864846358443
2015,2,2,0.46,4.54,0.0,0.7872501785430424
2015,2,3,0.12,4.9,0.0,0.8597597530512991
2015,2,4,1.83,4.36,0.02,0.6490153365281119
2015,2,5,1.64,3.73,0.24,0.5832980073834967
2015,2,6,1.07,4.86,0.0,0.8031366892395867
2015,2,7,2.42,5.92,0.02,0.823727528165791
2015,2,8,-2.69,2.02,0.11,0.7663068916716954
2015,2,9,-2.31,1.48,0.03,0.6903072018577399
2015,2,10,1.38,6.55,0.0,1.0183436284316845
2015,2,11,2.85,7.9,0.0,1.0812191441151915
2015,2,12,-0.69,4.06,0.0,0.8895425397981416
2015,2,13,-1.03,3.29,0.0,0.8315613864398256
2015,2,14,0.15,7.37,0.0,1.2354080881558527
2015,2,15,4.51,8.93,16.45,1.1092329335366082
2015,2,16,5.0,7.93,3.27,0.9017955020473346
2015,2,17,2.57,6.03,0.11,0.9005955361135621
