Year,Month,Day,MinTemp,MaxTemp,Precipitation,ReferenceET
2022,1,1,-16.36,-11.44,2.59,0.107263
2022,1,2,-17.02,-3.54,0.0,0.343786
2022,1,3,-8.79,7.0,0.02,0.840222
2022,1,4,-7.13,7.46,0.04,0.862465
2022,1,5,-15.03,-7.96,0.01,0.211794
2022,1,6,-16.12,-12.33,0.0,0.088405
2022,1,7,-14.91,-4.42,0.0,0.336606
2022,1,8,-9.72,3.29,0.0,0.676146
2022,1,9,-13.07,-3.21,0.0,0.392331
2022,1,10,-8.99,1.66,0.0,0.600579
2022,1,11,-4.22,9.15,0.0,0.971384
2022,1,12,-0.6,11.03,0.0,1.03627
2022,1,13,-0.7,11.25,0.0,1.060966
2022,1,14,-6.09,4.35,2.05,0.733153
2022,1,15,-8.45,-4.34,0.45,0.312334
2022,1,16,-6.99,8.23,0.02,0.978623
2022,1,17,-3.03,9.2,0.01,1.00295
2022,1,18,-2.77,11.26,0.0,1.143608
2022,1,19,-14.69,-4.11,0.0,0.381731
2022,1,20,-17.97,-9.47,0.0,0.167683
2022,1,21,-16.33,-2.48,0.03,0.444458
2022,1,22,-6.36,5.85,0.01,0.880322
2022,1,23,-5.69,3.6,0.0,0.740294
2022,1,24,-8.22,3.58,0.0,0.778319
2022,1,25,-13.09,-5.26,0.0,0.356737
2022,1,26,-13.71,2.39,0.0,0.727222
2022,1,27,-4.98,4.79,0.01,0.834579
2022,1,28,-11.23,1.83,0.0,0.721296
2022,1,29,-5.49,11.1,0.0,1.292016
2022,1,30,-3.33,5.15,0.0,0.84761
2022,1,31,-1.13,12.46,0.0,1.360048
2022,2,1,-5.19,1.32,0.02,0.643277
2022,2,2,-12.44,-5.98,0.0,0.350721
2022,2,3,-17.47,-8.29,0.0,0.242081
2022,2,4,-14.18,-1.84,0.0,0.564639
2022,2,5,-11.04,9.53,0.0,1.283313
2022,2,6,-2.4,5.27,0.0,0.894177
2022,2,7,-2.16,12.98,0.0,1.532894
2022,2,8,-0.44,13.03,0.0,1.517914
2022,2,9,-2.32,9.73,0.0,1.295837
2022,2,10,-4.75,8.96,0.95,1.293884
2022,2,11,-9.17,6.97,0.12,1.191223
2022,2,12,-10.48,1.29,0.0,0.813528
2022,2,13,-9.84,-0.21,0.0,0.720027
2022,2,14,-3.49,3.02,0.0,0.823279
2022,2,15,-4.44,13.22,0.0,1.732597
2022,2,16,-3.86,3.39,0.0,0.888789
2022,2,17,-8.92,-2.48,0.01,0.583639
2022,2,18,-5.7,12.98,0.0,1.78139
2022,2,19,-7.85,3.64,0.0,1.034404
2022,2,20,-1.77,15.71,0.0,2.036478
2022,2,21,-6.51,6.13,0.29,1.245142
2022,2,22,-16.71,-6.84,0.08,0.380708
2022,2,23,-17.89,-9.8,0.0,0.228808
2022,2,24,-15.41,-9.79,0.06,0.253559
2022,2,25,-17.47,-2.6,0.0,0.622793
2022,2,26,-10.91,6.76,0.0,1.390189
2022,2,27,-5.49,11.61,0.0,1.834311
2022,2,28,-1.27,18.11,0.02,2.481657
2022,3,1,1.02,21.93,0.0,2.909726
2022,3,2,2.71,24.48,0.0,3.218747
2022,3,3,-3.42,9.87,0.0,1.702495
2022,3,4,-2.63,20.65,0.98,2.904264
2022,3,5,-3.1,13.37,6.49,2.112139
2022,3,6,-5.4,2.21,1.05,1.025214
2022,3,7,-5.58,3.47,0.29,1.167469
2022,3,8,-4.76,7.82,0.01,1.605595
2022,3,9,-6.54,-2.46,0.63,0.635678
2022,3,10,-8.34,-2.76,0.71,0.691772
2022,3,11,-12.38,-1.29,0.0,0.881862
2022,3,12,-14.12,6.07,0.0,1.509954
2022,3,13,-1.64,15.71,0.04,2.548914
2022,3,14,-1.25,13.37,0.0,2.270294
2022,3,15,-2.57,16.64,0.0,2.7354
2022,3,16,0.9,21.5,0.0,3.33993
2022,3,17,1.91,9.67,4.62,1.683582
2022,3,18,-0.67,9.02,3.68,1.769262
2022,3,19,-3.04,18.7,0.0,3.12005
2022,3,20,1.65,23.88,0.0,3.797642
2022,3,21,4.1,20.15,5.43,3.188474
2022,3,22,0.93,6.81,12.88,1.410276
2022,3,23,-0.8,5.73,0.3,1.402357
2022,3,24,-1.23,10.05,0.01,2.038031
2022,3,25,1.25,12.14,0.0,2.227942
2022,3,26,-2.15,9.73,0.0,2.068858
2022,3,27,-3.88,7.21,0.57,1.817605
2022,3,28,-2.19,13.21,0.0,2.586683
2022,3,29,0.55,24.57,0.43,4.242695
2022,3,30,-0.91,7.53,1.19,1.763101
2022,3,31,-3.58,8.75,0.04,2.074557
2022,4,1,-2.81,17.56,2.9,3.319437
2022,4,2,0.44,16.2,0.0,3.053289
2022,4,3,3.39,17.92,0.04,3.218666
2022,4,4,-1.1,15.91,0.0,3.108436
2022,4,5,4.72,17.97,0.43,3.196275
2022,4,6,2.23,11.55,0.0,2.287814
2022,4,7,2.24,6.71,0.23,1.439903
