Year,Month,Day,MinTemp,MaxTemp,Precipitation,ReferenceET
2015,1,1,17.02,30.97,0.0,4.229214221999329
2015,1,2,15.99,30.01,0.0,4.144536119782608
2015,1,3,14.59,31.18,0.0,4.502316197390737
2015,1,4,16.69,33.31,0.0,4.7480695611330805
2015,1,5,18.92,34.55,0.0,4.799102144244701
2015,1,6,19.75,35.75,0.0,4.97496369643061
2015,1,7,21.24,35.33,0.02,4.732162323923426
2015,1,8,22.86,30.26,7.65,3.307460591596093
2015,1,9,20.23,29.37,2.93,3.5371350308608607
2015,1,10,20.79,31.11,1.43,3.868179267969913
2015,1,11,18.99,28.26,0.47,3.47894868465838
2015,1,12,16.85,27.62,0.43,3.6323406830178064
2015,1,13,18.84,27.0,0.0,3.223445662228188
2015,1,14,16.87,30.26,0.0,4.204882202921112
2015,1,15,15.1,31.47,0.0,4.629505069117785
2015,1,16,16.32,31.72,0.0,4.5824752186165405
2015,1,17,15.86,30.88,0.0,4.467162163517521
2015,1,18,16.5,31.74,0.0,4.594307646117386
2015,1,19,16.75,31.81,0.0,4.5974198048179735
2015,1,20,16.61,32.93,0.0,4.855538459638903
2015,1,21,18.67,33.71,0.0,4.830880046832853
2015,1,22,19.47,34.02,0.0,4.825911782547334
2015,1,23,19.86,33.63,0.0,4.709123619693148
2015,1,24,19.61,34.29,0.0,4.899807273708936
2015,1,25,19.54,34.35,0.0,4.936465519900925
2015,1,26,20.37,34.74,0.0,4.944699918912339
2015,1,27,20.08,34.85,0.0,5.0193961482543985
2015,1,28,19.82,35.39,0.0,5.186540897358502
2015,1,29,20.2,35.63,0.0,5.215791655904819
2015,1,30,21.21,35.87,0.0,5.170906669881403
2015,1,31,22.54,34.31,0.65,4.637556154076033
2015,2,1,21.88,34.62,0.08,4.806604388201596
2015,2,2,19.64,34.39,0.0,5.050539776914686
2015,2,3,20.07,35.48,0.0,5.268094396193224
2015,2,4,20.38,36.28,0.0,5.43533544898014
2015,2,5,20.11,35.45,0.0,5.2937148960742695
2015,2,6,19.38,34.62,0.0,5.204541789034187
2015,2,7,19.85,34.88,0.0,5.229257523705675
2015,2,8,19.79,34.93,0.0,5.266581601418497
2015,2,9,19.83,34.7,0.0,5.227162107584624
2015,2,10,19.11,34.55,0.0,5.294017830202952
2015,2,11,20.79,35.5,0.0,5.338837105941192
2015,2,12,21.49,36.0,0.0,5.391112157761074
2015,2,13,22.63,35.89,0.03,5.229571267189123
2015,2,14,22.34,36.47,0.01,5.434660156255488
2015,2,15,20.01,35.88,0.15,5.6016422313281895
2015,2,16,22.56,35.88,0.23,5.2940247606082025
2015,2,17,23.65,36.5,0.0,5.313448711686725
2015,2,18,24.31,36.63,0.29,5.2645303544007405
2015,2,19,23.67,35.61,0.83,5.111867493223653
2015,2,20,23.31,36.83,0.1,5.508510968814312
2015,2,21,23.66,35.25,7.92,5.0525963801484455
2015,2,22,23.45,35.89,2.61,5.2770262049765755
2015,2,23,23.38,36.66,0.0,5.511810241601514
2015,2,24,23.41,38.34,0.0,5.96949434036833
2015,2,25,23.43,38.57,0.0,6.047694036852944
2015,2,26,23.63,38.65,0.0,6.061775405061004
2015,2,27,23.0,39.38,0.0,6.358384929674528
2015,2,28,24.24,38.54,1.01,5.985433970887043
2015,3,1,25.66,36.57,5.31,5.250780320035584
2015,3,2,25.23,35.94,1.34,5.162774690835878
2015,3,3,25.86,38.01,0.01,5.670475131914625
2015,3,4,24.76,39.61,0.0,6.32042353497286
2015,3,5,25.33,39.79,0.0,6.303316938516416
2015,3,6,25.48,38.98,0.0,6.069236129944624
2015,3,7,25.16,38.9,0.0,6.117008080307276
2015,3,8,24.99,38.58,1.15,6.07174102121724
2015,3,9,25.14,38.99,0.08,6.182327666116985
2015,3,10,25.12,39.55,0.45,6.363013478645526
2015,3,11,24.73,39.65,0.05,6.469821919239912
2015,3,12,24.45,38.8,0.06,6.29088668631652
2015,3,13,25.54,38.78,0.01,6.124886398006193
2015,3,14,26.24,40.04,0.01,6.392931120940423
2015,3,15,25.3,40.63,0.0,6.732620321297926
2015,3,16,25.13,40.6,0.0,6.767462116219709
2015,3,17,24.69,40.48,0.0,6.8165635554145405
2015,3,18,25.26,41.26,0.0,6.97093084028142
2015,3,19,25.9,41.32,0.0,6.907050094232624
2015,3,20,26.32,41.39,0.0,6.877022683013064
2015,3,21,27.12,38.38,2.93,5.830772251018572
2015,3,22,26.04,33.04,9.35,4.315118145162967
2015,3,23,25.49,35.48,2.81,5.269451114767019
2015,3,24,25.21,31.45,4.86,3.987275996750877
2015,3,25,23.27,34.57,15.9,5.4456261373442025
2015,3,26,24.16,33.26,1.9,4.874757485072099
2015,3,27,24.59,35.41,0.05,5.473721105401439
2015,3,28,25.19,34.1,10.4,4.93969941859275
2015,3,29,24.62,31.16,6.57,4.08306462219756
2015,3,30,24.37,37.46,0.17,6.170050162954817
2015,3,31,25.01,39.19,0.41,6.589458935180919
2015,4,1,25.62,39.63,0.17,6.61875140028591
2015,4,2,26.39,40.5,0.0,6.76170287498596
2015,4,3,23.66,40.71,0.0,7.261863701725764
2015,4,4,24.29,40.14,0.0,7.016838680025161
2015,4,5,24.84,40.22,0.0,6.966063835453127
2015,4,6,25.48,40.92,0.0,7.082840807279578
2015,4,7,26.62,40.23,7.92,6.688545769600506
2015,4,8,26.06,34.87,21.91,5.0771951971464455
2015,4,9,25.52,36.77,0.11,5.825688110153605
2015,4,10,25.14,38.37,2.11,6.40420799597717
2015,4,11,25.25,36.64,9.39,5.8519681332622
2015,4,12,25.25,33.83,4.52,4.938223833869757
2015,4,13,24.95,36.46,0.0,5.866634828872169
2015,4,14,22.7,36.99,0.0,6.42749576909861
2015,4,15,21.29,38.38,0.0,7.034395763072535
2015,4,16,24.25,39.14,0.0,6.828693647820758
2015,4,17,25.1,40.07,0.0,6.976200125977862
2015,4,18,25.95,39.41,0.0,6.6329280344260075
2015,4,19,26.35,41.22,0.0,7.129813588735907
2015,4,20,27.15,41.17,0.0,6.978431994040446
2015,4,21,27.46,42.17,0.0,7.243126365055739
2015,4,22,27.5,39.04,6.22,6.230957449814874
2015,4,23,26.61,32.65,7.29,4.189038410078494
2015,4,24,25.87,33.7,5.75,4.787752843570929
2015,4,25,25.27,30.41,2.0,3.722440198982769
2015,4,26,24.45,35.26,3.63,5.639282220904675
2015,4,27,25.65,35.95,2.04,5.616193267486059
2015,4,28,25.8,35.41,2.37,5.405139350848639
2015,4,29,25.39,38.75,0.04,6.568240336048697
2015,4,30,26.68,35.6,0.33,5.2685175961639334
2015,5,1,27.09,40.63,0.09,6.853714764902848
2015,5,2,27.31,38.12,0.05,5.989642464141734
2015,5,3,27.81,37.26,0.12,5.581420475168736
2015,5,4,27.45,36.13,0.51,5.2709632577973835
2015,5,5,27.36,37.27,1.27,5.692519681899603
2015,5,6,27.26,39.04,0.64,6.310561533401218
2015,5,7,27.61,40.43,0.22,6.696248274176572
2015,5,8,28.29,35.3,0.64,4.739300805783511
2015,5,9,27.57,39.53,0.93,6.409726156010376
2015,5,10,27.26,38.47,0.04,6.12279490311149
2015,5,11,28.52,38.38,0.01,5.808533427960063
2015,5,12,28.43,39.37,1.04,6.17190303544043
2015,5,13,27.37,35.25,0.96,4.975418362838771
2015,5,14,26.73,30.35,6.32,3.1818157165539467
2015,5,15,25.56,36.87,0.06,5.948194527372838
2015,5,16,27.44,38.45,0.04,6.0752539498154
2015,5,17,27.45,39.04,0.58,6.26928698637947
2015,5,18,27.3,38.06,0.23,5.972937378868997
2015,5,19,27.02,37.79,2.97,5.942245838111187
2015,5,20,26.77,36.95,2.46,5.713526775797695
2015,5,21,26.37,36.52,2.89,5.656421297092631
2015,5,22,25.94,34.53,2.97,5.074805770614859
2015,5,23,25.99,34.22,1.83,4.952908333309684
2015,5,24,24.83,36.41,0.71,5.937034342418423
2015,5,25,26.73,36.61,1.28,5.601686451194302
2015,5,26,26.01,35.2,1.96,5.285081763821477
2015,5,27,26.14,34.06,2.55,4.854058347672822
2015,5,28,26.07,37.46,0.37,6.022062924511448
2015,5,29,26.26,38.79,0.27,6.411619673936184
2015,5,30,26.44,38.33,0.0,6.226908754672857
2015,5,31,26.58,40.42,0.0,6.865809627470175
2015,6,1,27.29,40.17,1.09,6.653105666787948
2015,6,2,27.07,39.12,5.05,6.354385517414323
2015,6,3,26.75,33.49,5.84,4.473531318263603
2015,6,4,26.1,37.17,0.54,5.913048888998435
2015,6,5,26.54,36.52,0.07,5.601183894260762
2015,6,6,27.35,40.64,0.03,6.785085884856376
2015,6,7,27.81,40.22,2.13,6.5576698918366
2015,6,8,27.34,34.26,14.93,4.5920061696640335
2015,6,9,25.79,37.07,16.02,5.937514045105128
2015,6,10,26.34,40.0,0.94,6.763472908193348
2015,6,11,27.19,37.31,0.89,5.715263381207681
2015,6,12,27.21,36.55,2.16,5.448938855582977
2015,6,13,26.81,34.98,3.61,4.994251092934127
2015,6,14,27.09,36.56,1.66,5.478627944083563
2015,6,15,25.99,31.4,12.44,3.8790550198120872
2015,6,16,25.34,34.73,4.98,5.25687889772877
2015,6,17,25.09,34.36,6.22,5.1885195468541365
2015,6,18,25.51,32.19,4.38,4.322721466606637
2015,6,19,24.3,35.32,3.81,5.665603830257816
2015,6,20,24.87,37.38,0.61,6.2024116582155076
2015,6,21,25.38,35.2,0.37,5.4008184434581255
2015,6,22,26.07,35.01,2.93,5.179365386639208
2015,6,23,25.0,33.12,3.57,4.784512393988314
2015,6,24,24.92,32.88,4.87,4.720534741361867
2015,6,25,24.36,31.65,7.04,4.430563638649589
2015,6,26,24.25,32.87,7.43,4.875824254227272
2015,6,27,23.78,34.31,2.72,5.445040682647446
2015,6,28,23.95,33.49,5.48,5.146527542068229
2015,6,29,23.71,35.32,0.18,5.774255173717988
2015,6,30,23.74,36.17,0.24,6.030035048552428
2015,7,1,24.28,36.75,2.35,6.1103868628411915
2015,7,2,23.89,37.93,0.22,6.536522785984783
2015,7,3,24.85,36.59,1.19,5.953809014595119
2015,7,4,26.09,34.75,0.52,5.081879431277864
2015,7,5,25.53,33.67,2.07,4.843171880876819
2015,7,6,24.71,34.51,1.98,5.315281088442122
2015,7,7,25.19,35.8,0.79,5.63390541313273
2015,7,8,25.38,32.66,3.52,4.524343047122743
2015,7,9,25.35,33.33,0.24,4.769361251567277
2015,7,10,24.2,37.23,0.08,6.272345237525673
2015,7,11,24.31,38.99,0.03,6.786174189567966
2015,7,12,27.0,37.77,0.72,5.8991925235187
2015,7,13,25.85,38.23,1.35,6.281524709451154
2015,7,14,25.79,37.03,4.36,5.909893307352704
2015,7,15,26.24,32.63,0.55,4.277342186261144
2015,7,16,25.75,33.55,3.49,4.747439588482784
2015,7,17,25.61,33.26,2.89,4.6804350741554845
2015,7,18,25.12,33.19,1.32,4.778865896264835
2015,7,19,24.3,33.32,1.53,5.01535671050994
2015,7,20,25.2,31.16,5.55,4.021822891546526
2015,7,21,24.84,31.35,3.74,4.195617060810164
2015,7,22,24.34,34.82,0.32,5.495688457583895
2015,7,23,24.83,36.66,0.07,5.982553307450084
2015,7,24,24.9,34.83,0.12,5.381751207768413
2015,7,25,24.55,36.51,1.62,5.988629121147609
2015,7,26,24.75,35.33,0.74,5.575324457641242
2015,7,27,24.42,31.07,3.22,4.207981025577549
2015,7,28,23.35,32.45,6.51,4.93900825390654
2015,7,29,23.07,31.82,44.41,4.7945969695917565
2015,7,30,22.26,31.06,6.53,4.724506367083002
2015,7,31,23.66,31.87,4.41,4.676379838194869
2015,8,1,24.6,30.31,4.68,3.873391985432775
2015,8,2,23.98,30.89,9.29,4.258671572591431
2015,8,3,22.75,30.91,2.96,4.565393500391634
2015,8,4,23.19,33.38,1.12,5.267325535498253
2015,8,5,24.13,31.86,5.68,4.55805443772044
2015,8,6,23.81,33.91,0.25,5.307571135115176
2015,8,7,24.92,32.57,1.51,4.606836826297832
2015,8,8,24.39,31.97,2.38,4.528983944163994
2015,8,9,24.44,31.14,1.7,4.220766093918666
2015,8,10,24.65,34.27,0.15,5.241324658888526
