axis,condition,case,site,year,strategy,baseline_yield_t_ha,perturbed_yield_t_ha,yield_delta_t_ha,yield_delta_pct,baseline_irrigation_mm,perturbed_irrigation_mm,irrigation_delta_mm,irrigation_delta_pct,baseline_WP_kg_m3,perturbed_WP_kg_m3,WP_delta_kg_m3,WP_delta_pct,baseline_grow_precip_mm,perturbed_grow_precip_mm,baseline_irrigation_gt200,perturbed_irrigation_gt200,flag_changed,complete_rows,gapped_rows,rows_removed
missing_weather,jul15_28_removed,case1_gimje,Gimje,2015,rainfed,3.855829,3.991838,0.136009,3.527365,0.0,0.0,0.0,,0.957637,1.088911,0.131274,13.708117,402.64,366.59,False,False,False,365,351,14
missing_weather,jul15_28_removed,case1_gimje,Gimje,2015,fixed_7d_80pct,7.008771,7.040387,0.031616,0.451092,238.919438,235.694338,-3.2251,-1.349869,1.092458,1.168947,0.076489,7.001531,402.64,366.59,True,True,False,365,351,14
missing_weather,jul15_28_removed,case1_gimje,Gimje,2015,deficit_SMT50,6.632798,6.572647,-0.060151,-0.906874,175.0,150.0,-25.0,-14.285714,1.148258,1.272314,0.124056,10.803835,402.64,366.59,False,False,False,365,351,14
missing_weather,jul15_28_removed,case1_gimje,Gimje,2015,deficit_SMT30,5.015672,5.069889,0.054217,1.080952,75.0,75.0,0.0,0.0,1.050095,1.148099,0.098004,9.332878,402.64,366.59,False,False,False,365,351,14
missing_weather,jul15_28_removed,case1_gimje,Gimje,2015,full_SMT80,7.168111,7.163426,-0.004685,-0.065356,286.924527,282.327305,-4.597223,-1.602241,1.039513,1.103904,0.064392,6.194403,402.64,366.59,True,True,False,365,351,14
missing_weather,jul15_28_removed,case1_gimje,Gimje,2019,rainfed,6.141774,5.090651,-1.051123,-17.114329,0.0,0.0,0.0,,0.909839,0.998676,0.088837,9.764083,675.04,509.74,False,False,False,365,351,14
missing_weather,jul15_28_removed,case1_gimje,Gimje,2019,fixed_7d_80pct,7.240474,7.239037,-0.001437,-0.019852,143.674913,166.466643,22.79173,15.863403,0.884371,1.070536,0.186166,21.050627,675.04,509.74,False,False,False,365,351,14
missing_weather,jul15_28_removed,case1_gimje,Gimje,2019,deficit_SMT50,7.018063,7.02536,0.007297,0.103971,125.0,150.0,25.0,20.0,0.877214,1.064868,0.187654,21.392034,675.04,509.74,False,False,False,365,351,14
missing_weather,jul15_28_removed,case1_gimje,Gimje,2019,deficit_SMT30,6.61346,6.518873,-0.094587,-1.430214,50.0,100.0,50.0,100.0,0.912151,1.069123,0.156972,17.209036,675.04,509.74,False,False,False,365,351,14
missing_weather,jul15_28_removed,case1_gimje,Gimje,2019,full_SMT80,7.321754,7.329158,0.007404,0.101123,205.063025,217.943265,12.880239,6.281113,0.83192,1.007191,0.175271,21.068197,675.04,509.74,True,True,False,365,351,14
missing_weather,jul15_28_removed,case1_gimje,Gimje,2022,rainfed,6.260741,6.196038,-0.064702,-1.033461,0.0,0.0,0.0,,0.85054,0.953193,0.102653,12.069104,736.09,650.03,False,False,False,365,351,14
missing_weather,jul15_28_removed,case1_gimje,Gimje,2022,fixed_7d_80pct,7.25211,7.238741,-0.013369,-0.18434,93.541868,89.526496,-4.015372,-4.292593,0.874136,0.978795,0.104659,11.972855,736.09,650.03,False,False,False,365,351,14
missing_weather,jul15_28_removed,case1_gimje,Gimje,2022,deficit_SMT50,7.219958,7.146753,-0.073205,-1.013921,100.0,75.0,-25.0,-25.0,0.863538,0.985718,0.12218,14.148753,736.09,650.03,False,False,False,365,351,14
missing_weather,jul15_28_removed,case1_gimje,Gimje,2022,deficit_SMT30,6.260741,6.196038,-0.064702,-1.033461,0.0,0.0,0.0,,0.85054,0.953193,0.102653,12.069104,736.09,650.03,False,False,False,365,351,14
missing_weather,jul15_28_removed,case1_gimje,Gimje,2022,full_SMT80,7.430382,7.426461,-0.003921,-0.052766,129.618126,142.432051,12.813926,9.885906,0.858301,0.937138,0.078837,9.185207,736.09,650.03,False,False,False,365,351,14
missing_weather,jul15_28_removed,case2_hampyeong,Hampyeong,2015,rainfed,6.015889,6.387996,0.372107,6.185399,0.0,0.0,0.0,,1.040991,1.152111,0.11112,10.674425,577.9,554.46,False,False,False,365,351,14
missing_weather,jul15_28_removed,case2_hampyeong,Hampyeong,2015,fixed_7d_80pct,7.138466,7.127845,-0.010621,-0.148782,142.761903,127.620851,-15.141052,-10.605807,0.990543,1.045015,0.054472,5.499178,577.9,554.46,False,False,False,365,351,14
missing_weather,jul15_28_removed,case2_hampyeong,Hampyeong,2015,deficit_SMT50,6.772364,6.734601,-0.037763,-0.557598,75.0,50.0,-25.0,-33.333333,1.037274,1.114152,0.076877,7.411481,577.9,554.46,False,False,False,365,351,14
missing_weather,jul15_28_removed,case2_hampyeong,Hampyeong,2015,deficit_SMT30,6.361558,6.387996,0.026438,0.415594,25.0,0.0,-25.0,-100.0,1.05516,1.152111,0.096952,9.18833,577.9,554.46,False,False,False,365,351,14
missing_weather,jul15_28_removed,case2_hampyeong,Hampyeong,2015,full_SMT80,7.166865,7.165397,-0.001468,-0.020484,149.313758,131.48065,-17.833107,-11.943378,0.985524,1.044609,0.059085,5.995292,577.9,554.46,False,False,False,365,351,14
missing_weather,jul15_28_removed,case2_hampyeong,Hampyeong,2019,rainfed,7.196797,6.894527,-0.30227,-4.200058,0.0,0.0,0.0,,0.873588,1.066604,0.193015,22.094537,823.82,646.4,False,False,False,365,351,14
missing_weather,jul15_28_removed,case2_hampyeong,Hampyeong,2019,fixed_7d_80pct,7.307054,7.302014,-0.00504,-0.068976,114.189612,130.970095,16.780483,14.69528,0.778996,0.939323,0.160327,20.581254,823.82,646.4,False,False,False,365,351,14
missing_weather,jul15_28_removed,case2_hampyeong,Hampyeong,2019,deficit_SMT50,7.30513,7.253723,-0.051407,-0.703709,50.0,75.0,25.0,50.0,0.835999,1.005506,0.169507,20.27597,823.82,646.4,False,False,False,365,351,14
missing_weather,jul15_28_removed,case2_hampyeong,Hampyeong,2019,deficit_SMT30,7.196797,7.155245,-0.041552,-0.577368,0.0,25.0,25.0,,0.873588,1.06572,0.192132,21.993376,823.82,646.4,False,False,False,365,351,14
missing_weather,jul15_28_removed,case2_hampyeong,Hampyeong,2019,full_SMT80,7.325232,7.323424,-0.001808,-0.024689,117.126119,148.258042,31.131923,26.57983,0.778496,0.921582,0.143085,18.379701,823.82,646.4,False,False,False,365,351,14
missing_weather,jul15_28_removed,case2_hampyeong,Hampyeong,2022,rainfed,7.232599,7.231439,-0.00116,-0.016042,0.0,0.0,0.0,,0.999461,1.233823,0.234362,23.448885,723.65,586.1,False,False,False,365,351,14
missing_weather,jul15_28_removed,case2_hampyeong,Hampyeong,2022,fixed_7d_80pct,7.407908,7.407573,-0.000336,-0.004533,88.836635,96.747966,7.911331,8.905483,0.911758,1.084806,0.173048,18.979604,723.65,586.1,False,False,False,365,351,14
missing_weather,jul15_28_removed,case2_hampyeong,Hampyeong,2022,deficit_SMT50,7.232599,7.231439,-0.00116,-0.016042,0.0,0.0,0.0,,0.999461,1.233823,0.234362,23.448885,723.65,586.1,False,False,False,365,351,14
missing_weather,jul15_28_removed,case2_hampyeong,Hampyeong,2022,deficit_SMT30,7.232599,7.231439,-0.00116,-0.016042,0.0,0.0,0.0,,0.999461,1.233823,0.234362,23.448885,723.65,586.1,False,False,False,365,351,14
missing_weather,jul15_28_removed,case2_hampyeong,Hampyeong,2022,full_SMT80,7.431667,7.431422,-0.000245,-0.003291,97.896515,96.560861,-1.335653,-1.364352,0.904595,1.088596,0.184002,20.340791,723.65,586.1,False,False,False,365,351,14
