case,site,year,strategy,soil_thfc,soil_thwp,yield_t_ha,irrigation_mm,grow_precip_mm,WP_kg_m3,irrigation_gt200
case1_gimje,Gimje,2015,rainfed,0.306,0.18,3.855829,0.0,402.64,0.957637,False
case1_gimje,Gimje,2015,fixed_7d_80pct,0.306,0.18,7.008771,238.919438,402.64,1.092458,True
case1_gimje,Gimje,2015,deficit_SMT50,0.306,0.18,6.632798,175.0,402.64,1.148258,False
case1_gimje,Gimje,2015,deficit_SMT30,0.306,0.18,5.015672,75.0,402.64,1.050095,False
case1_gimje,Gimje,2015,full_SMT80,0.306,0.18,7.168111,286.924527,402.64,1.039513,True
case1_gimje,Gimje,2019,rainfed,0.306,0.18,6.141774,0.0,675.04,0.909839,False
case1_gimje,Gimje,2019,fixed_7d_80pct,0.306,0.18,7.240474,143.674913,675.04,0.884371,False
case1_gimje,Gimje,2019,deficit_SMT50,0.306,0.18,7.018063,125.0,675.04,0.877214,False
case1_gimje,Gimje,2019,deficit_SMT30,0.306,0.18,6.61346,50.0,675.04,0.912151,False
case1_gimje,Gimje,2019,full_SMT80,0.306,0.18,7.321754,205.063025,675.04,0.83192,True
case1_gimje,Gimje,2022,rainfed,0.306,0.18,6.260741,0.0,736.09,0.85054,False
case1_gimje,Gimje,2022,fixed_7d_80pct,0.306,0.18,7.25211,93.541868,736.09,0.874136,False
case1_gimje,Gimje,2022,deficit_SMT50,0.306,0.18,7.219958,100.0,736.09,0.863538,False
case1_gimje,Gimje,2022,deficit_SMT30,0.306,0.18,6.260741,0.0,736.09,0.85054,False
case1_gimje,Gimje,2022,full_SMT80,0.306,0.18,7.430382,129.618126,736.09,0.858301,False
case2_hampyeong,Hampyeong,2015,rainfed,0.322,0.19,6.015889,0.0,577.9,1.040991,False
case2_hampyeong,Hampyeong,2015,fixed_7d_80pct,0.322,0.19,7.138466,142.761903,577.9,0.990543,False
case2_hampyeong,Hampyeong,2015,deficit_SMT50,0.322,0.19,6.772364,75.0,577.9,1.037274,False
case2_hampyeong,Hampyeong,2015,deficit_SMT30,0.322,0.19,6.361558,25.0,577.9,1.05516,False
case2_hampyeong,Hampyeong,2015,full_SMT80,0.322,0.19,7.166865,149.313758,577.9,0.985524,False
case2_hampyeong,Hampyeong,2019,rainfed,0.322,0.19,7.196797,0.0,823.82,0.873588,False
case2_hampyeong,Hampyeong,2019,fixed_7d_80pct,0.322,0.19,7.307054,114.189612,823.82,0.778996,False
case2_hampyeong,Hampyeong,2019,deficit_SMT50,0.322,0.19,7.30513,50.0,823.82,0.835999,False
case2_hampyeong,Hampyeong,2019,deficit_SMT30,0.322,0.19,7.196797,0.0,823.82,0.873588,False
case2_hampyeong,Hampyeong,2019,full_SMT80,0.322,0.19,7.325232,117.126119,823.82,0.778496,False
case2_hampyeong,Hampyeong,2022,rainfed,0.322,0.19,7.232599,0.0,723.65,0.999461,False
case2_hampyeong,Hampyeong,2022,fixed_7d_80pct,0.322,0.19,7.407908,88.836635,723.65,0.911758,False
case2_hampyeong,Hampyeong,2022,deficit_SMT50,0.322,0.19,7.232599,0.0,723.65,0.999461,False
case2_hampyeong,Hampyeong,2022,deficit_SMT30,0.322,0.19,7.232599,0.0,723.65,0.999461,False
case2_hampyeong,Hampyeong,2022,full_SMT80,0.322,0.19,7.431667,97.896515,723.65,0.904595,False
