axis,condition,case,site,year,baseline_best_deficit_strategy,condition_best_deficit_strategy,baseline_best_deficit_WP,condition_best_deficit_WP,baseline_fixed_WP,condition_fixed_WP,baseline_best_deficit_irrigation_mm,condition_best_deficit_irrigation_mm,baseline_fixed_irrigation_mm,condition_fixed_irrigation_mm,baseline_level_a_preferred,condition_level_a_preferred,level_a_preserved,baseline_rank_order,condition_rank_order,level_b_full_rank_preserved,baseline_deficit_pair_order,condition_deficit_pair_order,level_b_deficit_pair_preserved,flag_flips_count,verdict_summary
soil,FC+15,case1_gimje,Gimje,2015,deficit_SMT50,deficit_SMT50,1.148258,1.199555,1.092458,1.087417,175.0,125.0,238.919438,247.508822,True,True,True,deficit_SMT50>fixed_7d_80pct>deficit_SMT30>full_SMT80>rainfed,deficit_SMT50>rainfed>deficit_SMT30>full_SMT80>fixed_7d_80pct,False,deficit_SMT50>deficit_SMT30,deficit_SMT50>deficit_SMT30,True,0,Level A preferred
soil,FC-15,case1_gimje,Gimje,2015,deficit_SMT50,deficit_SMT50,1.148258,1.09629,1.092458,1.058638,175.0,238.617833,238.919438,231.06766,True,False,False,deficit_SMT50>fixed_7d_80pct>deficit_SMT30>full_SMT80>rainfed,deficit_SMT50>deficit_SMT30>fixed_7d_80pct>full_SMT80>rainfed,False,deficit_SMT50>deficit_SMT30,deficit_SMT50>deficit_SMT30,True,1,Level A flipped
soil,WP+15,case1_gimje,Gimje,2015,deficit_SMT50,deficit_SMT50,1.148258,1.122544,1.092458,1.067803,175.0,215.850614,238.919438,238.189666,True,True,True,deficit_SMT50>fixed_7d_80pct>deficit_SMT30>full_SMT80>rainfed,deficit_SMT50>fixed_7d_80pct>full_SMT80>deficit_SMT30>rainfed,False,deficit_SMT50>deficit_SMT30,deficit_SMT50>deficit_SMT30,True,1,Level A preferred
soil,WP-15,case1_gimje,Gimje,2015,deficit_SMT50,deficit_SMT50,1.148258,1.139667,1.092458,1.099375,175.0,150.0,238.919438,240.094671,True,True,True,deficit_SMT50>fixed_7d_80pct>deficit_SMT30>full_SMT80>rainfed,deficit_SMT50>deficit_SMT30>rainfed>fixed_7d_80pct>full_SMT80,False,deficit_SMT50>deficit_SMT30,deficit_SMT50>deficit_SMT30,True,0,Level A preferred
soil,FC+15_WP+15,case1_gimje,Gimje,2015,deficit_SMT50,deficit_SMT50,1.148258,1.11003,1.092458,1.082328,175.0,175.0,238.919438,246.7501,True,True,True,deficit_SMT50>fixed_7d_80pct>deficit_SMT30>full_SMT80>rainfed,deficit_SMT50>fixed_7d_80pct>full_SMT80>deficit_SMT30>rainfed,False,deficit_SMT50>deficit_SMT30,deficit_SMT50>deficit_SMT30,True,0,Level A preferred
soil,FC+15_WP-15,case1_gimje,Gimje,2015,deficit_SMT50,deficit_SMT30,1.148258,1.283849,1.092458,1.091492,175.0,50.0,238.919438,247.378065,True,True,True,deficit_SMT50>fixed_7d_80pct>deficit_SMT30>full_SMT80>rainfed,rainfed>deficit_SMT30>deficit_SMT50>full_SMT80>fixed_7d_80pct,False,deficit_SMT50>deficit_SMT30,deficit_SMT30>deficit_SMT50,False,0,Level A preferred
soil,FC-15_WP+15,case1_gimje,Gimje,2015,deficit_SMT50,deficit_SMT30,1.148258,1.098114,1.092458,0.979133,175.0,229.101507,238.919438,220.807295,True,False,False,deficit_SMT50>fixed_7d_80pct>deficit_SMT30>full_SMT80>rainfed,deficit_SMT30>deficit_SMT50>full_SMT80>fixed_7d_80pct>rainfed,False,deficit_SMT50>deficit_SMT30,deficit_SMT30>deficit_SMT50,False,2,Level A flipped
soil,FC-15_WP-15,case1_gimje,Gimje,2015,deficit_SMT50,deficit_SMT50,1.148258,1.14552,1.092458,1.096203,175.0,197.16972,238.919438,233.780735,True,True,True,deficit_SMT50>fixed_7d_80pct>deficit_SMT30>full_SMT80>rainfed,deficit_SMT50>fixed_7d_80pct>deficit_SMT30>full_SMT80>rainfed,True,deficit_SMT50>deficit_SMT30,deficit_SMT50>deficit_SMT30,True,0,Level A preferred
missing_weather,jul15_28_removed,case1_gimje,Gimje,2015,deficit_SMT50,deficit_SMT50,1.148258,1.272314,1.092458,1.168947,175.0,150.0,238.919438,235.694338,True,True,True,deficit_SMT50>fixed_7d_80pct>deficit_SMT30>full_SMT80>rainfed,deficit_SMT50>fixed_7d_80pct>deficit_SMT30>full_SMT80>rainfed,True,deficit_SMT50>deficit_SMT30,deficit_SMT50>deficit_SMT30,True,0,Level A preferred
soil,FC+15,case1_gimje,Gimje,2019,deficit_SMT30,deficit_SMT30,0.912151,0.936282,0.884371,0.882962,50.0,50.0,143.674913,149.389888,True,True,True,deficit_SMT30>rainfed>fixed_7d_80pct>deficit_SMT50>full_SMT80,rainfed>deficit_SMT30>deficit_SMT50>fixed_7d_80pct>full_SMT80,False,deficit_SMT30>deficit_SMT50,deficit_SMT30>deficit_SMT50,True,1,Level A preferred
