axis,condition,case,site,year,strategy,baseline_yield_t_ha,perturbed_yield_t_ha,yield_delta_t_ha,yield_delta_pct,baseline_irrigation_mm,perturbed_irrigation_mm,irrigation_delta_mm,irrigation_delta_pct,baseline_WP_kg_m3,perturbed_WP_kg_m3,WP_delta_kg_m3,WP_delta_pct,baseline_grow_precip_mm,perturbed_grow_precip_mm,baseline_irrigation_gt200,perturbed_irrigation_gt200,flag_changed,fc_factor,wp_factor,perturbed_soil_thfc,perturbed_soil_thwp
soil,FC+15,case1_gimje,Gimje,2015,rainfed,3.855829,4.647421,0.791592,20.529752,0.0,0.0,0.0,,0.957637,1.154237,0.1966,20.529752,402.64,402.64,False,False,False,1.15,1.0,0.3519,0.18
soil,FC+15,case1_gimje,Gimje,2015,fixed_7d_80pct,7.008771,7.069827,0.061056,0.87114,238.919438,247.508822,8.589384,3.595096,1.092458,1.087417,-0.005042,-0.46151,402.64,402.64,True,True,False,1.15,1.0,0.3519,0.18
soil,FC+15,case1_gimje,Gimje,2015,deficit_SMT50,6.632798,6.329333,-0.303465,-4.575219,175.0,125.0,-50.0,-28.571429,1.148258,1.199555,0.051297,4.467384,402.64,402.64,False,False,False,1.15,1.0,0.3519,0.18
soil,FC+15,case1_gimje,Gimje,2015,deficit_SMT30,5.015672,5.464056,0.448383,8.939644,75.0,75.0,0.0,0.0,1.050095,1.143969,0.093875,8.939644,402.64,402.64,False,False,False,1.15,1.0,0.3519,0.18
soil,FC+15,case1_gimje,Gimje,2015,full_SMT80,7.168111,7.165597,-0.002514,-0.035065,286.924527,236.763023,-50.161504,-17.482473,1.039513,1.12067,0.081157,7.807236,402.64,402.64,True,True,False,1.15,1.0,0.3519,0.18
soil,FC-15,case1_gimje,Gimje,2015,rainfed,3.855829,1.563498,-2.292331,-59.451049,0.0,0.0,0.0,,0.957637,0.388312,-0.569325,-59.451049,402.64,402.64,False,False,False,0.85,1.0,0.2601,0.18
soil,FC-15,case1_gimje,Gimje,2015,fixed_7d_80pct,7.008771,6.708671,-0.300099,-4.281768,238.919438,231.06766,-7.851778,-3.286371,1.092458,1.058638,-0.03382,-3.095798,402.64,402.64,True,True,False,0.85,1.0,0.2601,0.18
soil,FC-15,case1_gimje,Gimje,2015,deficit_SMT50,6.632798,7.030048,0.39725,5.989183,175.0,238.617833,63.617833,36.353047,1.148258,1.09629,-0.051968,-4.52578,402.64,402.64,False,True,True,0.85,1.0,0.2601,0.18
soil,FC-15,case1_gimje,Gimje,2015,deficit_SMT30,5.015672,6.365058,1.349385,26.903378,75.0,197.240988,122.240988,162.987984,1.050095,1.061053,0.010959,1.043592,402.64,402.64,False,False,False,0.85,1.0,0.2601,0.18
soil,FC-15,case1_gimje,Gimje,2015,full_SMT80,7.168111,7.178369,0.010258,0.143104,286.924527,288.002148,1.077621,0.375576,1.039513,1.039376,-0.000137,-0.013151,402.64,402.64,True,True,False,0.85,1.0,0.2601,0.18
